PANTALLA,SECCIÓN,ID,tags,values html,Texto Español,Texto Italiano,Texto Inglés,Texto Portugués,Texto Portugués
,partners,{{$store.getters.getTags({tag:'partners_titulo'})}},partners_titulo,,Partners,Partners,Partners,Parceiros,Nos Partenaires
,partners,{{$store.getters.getTags({tag:'partners_text1'})}},partners_text1,,¿Estás buscando un aliado digital para tu empresa?,Stai cercando un alleato digitale per la tua azienda?,Are you looking for a digital ally for your company?,Você está procurando um aliado digital para sua empresa?,Vous recherchez un allié numérique pour votre entreprise?
,partners,{{$store.getters.getTags({tag:'partners_text22'})}},partners_text22,"<h4 class=""text-center title-border-bottom"">Potenciamos tus ideas, <strong>aumentamos tu exito</strong>.</h4>","Potenciamos tu idea, aumentamos tu éxito.","Potenziamo la tua idea, aumentiamo il tuo successo.","We empower your idea, we increase your success.","Nós fortalecemos sua ideia, aumentamos seu sucesso.","Nous renforçons votre idée, nous augmentons votre succès."
,partners,{{$store.getters.getTags({tag:'partners_text23'})}},partners_text23,,"
¿Qué ofrecemos para hacer crecer la cartera de clientes a nuestros socios?",Cosa offriamo per far crescere il portafoglio clienti dei nostri soci?,"
 What do we offer to grow the client portfolio of our partners?",O que oferecemos para aumentar a carteira de clientes de nossos parceiros?,Que proposons-nous pour développer le portefeuille de clients de nos partenaires?
,partners,{{$store.getters.getTags({tag:'partners_text2'})}},partners_text2,,Proveemos servicios digitales de calidad.,Forniamo servizi digitali di alta qualità., We provide quality digital services., Nós fornecemos serviços digitais de qualidade.,Nous fournissons des services numériques de qualité.
,partners,{{$store.getters.getTags({tag:'partners_title1'})}},partners_title1,,IDENTIDAD DE MARCA Y COMUNICACIÓN,IDENTITA' DEL MARCHIO E COMUNICAZIONE,IDENTITY OF BRAND AND COMMUNICATION,IDENTIDADE DE MARCA E COMUNICAÇÃO,IDENTITÉ DE MARQUE ET DE COMMUNICATION
,partners,{{$store.getters.getTags({tag:'partners_text3'})}},partners_text3,,A través de nuestra red de técnicos y colaboradores podemos apoyar a nuestros clientes en el posicionamiento estratégico online de su marca.,Attraverso la nostra rete di tecnici e collaboratori possiamo aiutare i nostri clienti a posizionare strategicamente  il proprio marchio sul web., Through our network of technicians and collaborators we can support our clients in the strategic online positioning of your brand.," Através da nossa rede de técnicos e colaboradores, podemos apoiar os nossos clientes no posicionamento estratégico online da sua marca."," Grâce à notre réseau de techniciens et de collaborateurs, nous pouvons assister nos clients dans le positionnement stratégique en ligne de votre marque."
,partners,{{$store.getters.getTags({tag:'partners_title2'})}},partners_title2,,INNOVACIÓN DE PROCESO,INNOVAZIONE DEI PROCESSI,PROCESS INNOVATION,INOVAÇÃO DO PROCESSO,INNOVATION DE PROCESSUS
,partners,{{$store.getters.getTags({tag:'partners_text4'})}},partners_text4,,"Nuestros socios y clientes siempre pueden contar con nuestros consejos y asesoramiento, garantizados por décadas de experiencia y conocimiento.","I nostri soci e clienti possono sempre contare su i nostri consigli, garantiti da anni di esperienza e conoscenza.","Our partners and clients can always count on our advice and counseling, guaranteed by decades of experience and knowledge.","Nossos parceiros e clientes podem sempre contar com nossos conselhos e aconselhamento, garantidos por décadas de experiência e conhecimento.","Nos partenaires et clients peuvent toujours compter sur nos conseils et nos conseils, garantis par des décennies d'expérience et de connaissances."
,partners,{{$store.getters.getTags({tag:'partners_title3'})}},partners_title3,,DISEÑO Y DESARROLLO,DISEGNO E SVILUPPO,DESIGN AND DEVELOPMENT,DESIGN E DESENVOLVIMENTO,DESIGN ET DÉVELOPPEMENT
