PANTALLA,SECCIÓN,ID,tags,values html,Texto Español,Texto Italiano,Texto Inglés,Texto Portugués,Texto Francés
null,Botonera,{{$store.getters.getTags({tag:'general_btn_home'})}},general_btn_home,,inicio,Inizio,start,começar,début
,Botonera,{{$store.getters.getTags({tag:'general_btn_company'})}},general_btn_company,,la compañia,La compagnia,our company,nossa empresa,notre compagnie
,Botonera,{{$store.getters.getTags({tag:'general_btn_agencies'})}},general_btn_agencies,,agencias,Agenzie,agencies,agências,agences
,Botonera,{{$store.getters.getTags({tag:'general_btn_send'})}},general_btn_send,,Enviar,Inviare,Submit,Enviar,Envoyer
,Botonera,{{$store.getters.getTags({tag:'general_btn_careers'})}},general_btn_careers,,carreras,Lavora con noi,careers,carreiras,carrières
,Botonera,{{$store.getters.getTags({tag:'general_btn_contact'})}},general_btn_contact,,Contactanos,Contattaci,Contact us,Entre em contato conosco,Nous contacter
,Header,{{$store.getters.getTags({tag:'general_header'})}},general_header,Líderes <br>en la construcción<br> de negocios<br> y Éxitos Digitales.,"Líderes <br>en la construcción<br> de negocios
<br>y Éxitos Digitales. ",Leader <br>nella costruzione<br> di business <br>e successi digitali.,"Leaders<br> in business construction<br>
 and Digital Successes.","<br>Líderes <br>na construção <br>de empresas
 <br>e Sucessos Digitais.","<br>Leaders <br>en construction <br>d'entreprise
 <br>et Succès Numériques."
,Bloque 1,{{$store.getters.getTags({tag:'home_text1'})}},home_text1,,Nuestras Especialidades,Le nostre specialità,Our Specialties,Nossas Especialidades,Nos Spécialités
,Bloque 1,{{$store.getters.getTags({tag:'home_text2'})}},home_text2,,"Convertimos en soluciones digitales tus ideas y proyectos, impulsando tu modelo de negocio con estrategias para el mundo online.",Trasformiamo in soluzioni digitali le tue idee ed i tuoi progetti dando impulso al tuo modello di business con strategie specifiche per il mondo online,"We convert your ideas and projects into digital solutions, driving your business model with strategies for the online world.","Nós convertemos suas idéias e projetos em soluções digitais, conduzindo seu modelo de negócios com estratégias para o mundo on-line.",Nous convertissons vos idées et vos projets en solutions numériques et développons votre modèle d’affaires avec des stratégies pour le monde en ligne.
,Bloque 1,{{$store.getters.getTags({tag:'home_title2'})}},home_title2,,Jumperr Studio,Jumperr Studio,Jumperr Studio,Jumperr Studio,Jumperr Studio
,Bloque 1,{{$store.getters.getTags({tag:'home_text3'})}},home_text3,,Ponemos a tu disposición un equipo de profesionales  calificados  para lograr los resultados deseados,Mettiamo a tua dispozione un team di professionisti qualificati per ottenere i risultati desiderati.,We put at your disposal a team of qualified professionals to achieve the desired results,Colocamos à sua disposição uma equipe de profissionais qualificados para alcançar os resultados desejados,Nous mettons à votre disposition une équipe de professionnels qualifiés pour atteindre les résultats souhaités
,Bloque 1,{{$store.getters.getTags({tag:'home_title3'})}},home_title3,,Desarrollo web y Apps,Sviluppo web ed Apps,Web development and Apps,Desenvolvimento Web e Apps,Développement Web et Apps
,Bloque 1,{{$store.getters.getTags({tag:'home_text4'})}},home_text4,,"Una página web altamente efectiva, visualmente atractiva y adaptada a los diferentes dispositivos, que te permite dar a conocer productos, servicios, trabajos y proyectos.","Una pagina efficente, esteticamente attraente e adattata ai differenti dispositivi ,che ti permette far conoscere i tuoi prodotti, servizi, lavori e progetti.","A highly effective website, visually attractive and adapted to different devices, which allows you to publicize products, services, jobs and projects.","Um site web altamente eficaz, visualmente atraente e adaptado a diferentes dispositivos, que permite divulgar produtos, serviços, empregos e projetos.","Un site web très efficace, attrayant visuellement et adapté à différents appareils, qui vous permet de faire connaître des produits, des services, des emplois et des projets."
,Bloque 1,{{$store.getters.getTags({tag:'home_title4'})}},home_title4,,Jumperr Start,Jumperr Start,Jumperr Start,Jumperr Start,Jumperr Start
,Bloque 1,{{$store.getters.getTags({tag:'home_text5'})}},home_text5,,Crea tu página web de la manera más rápida y fácil con nuestras plantillas categorizadas y con una herramienta adaptada a tus necesidades de negocio.,Crea la tua pagina nel modo più facile e veloce con le nostre schermate categorizzate e con uno strumento adatto alle esigenze della tua attività.,Create your website in the fastest and easiest way with our categorized templates and with a tool adapted to your business needs.,Crie seu site da maneira mais rápida e fácil com nossos modelos categorizados e com uma ferramenta adaptada às suas necessidades de negócios.,Créez votre site web de la manière la plus rapide et la plus simple avec nos modèles catégorisés et avec un outil adapté aux besoins de votre entreprise.
,Bloque 1,{{$store.getters.getTags({tag:'home_title5'})}},home_title5,,Redes Sociales,Social Network,Social Networks,Redes Sociais,Réseaux Sociaux
,Bloque 2,{{$store.getters.getTags({tag:'home_text6'})}},home_text6,,Atiende tus necesidades en cuanto a la gestión de redes sociales con una estrategia de marketing digital orientada a resultados y bien ejecutada.,Rispondi ai tuoi bisogni per quanto concerne la gestione dei social network con una strategia di marketing digitale orientata ai risultati e ben realizzata.,Address your needs in terms of managing social networks with a digital marketing strategy focused on results and well executed.,Atenda suas necessidades em termos de gerenciamento de redes sociais com uma estratégia de marketing digital focada em resultados e bem executada.,Répondez à vos besoins en termes de gestion des réseaux sociaux avec une stratégie de marketing numérique axée sur les résultats et bien exécutée.
,Bloque 2,{{$store.getters.getTags({tag:'home_title6'})}},home_title6,,CMS y CRM,CMS e CRM,CMS and CRM,CMS e CRM,CMS et CRM
,Bloque 2,{{$store.getters.getTags({tag:'home_text7'})}},home_text7,,"La mejor solución para optimizar la gestión comercial, el marketing y el servicio postventa o de atención al cliente de tu empresa de forma fácil y útil.","La miglior soluzione per ottimizzare la gestione commerciale, il marketing, il servizio post vendita o di attenzione al cliente della tua azienda , in un modo semplice e utile.","The best solution to optimize the commercial management, marketing and post-sale service or customer service of your company in an easy and useful way.","A melhor solução para otimizar a gestão comercial, marketing e serviço pós-venda ou atendimento ao cliente de sua empresa de uma maneira fácil e útil.","La meilleure solution pour optimiser la gestion commerciale, le marketing et le service après-vente ou le service client de votre entreprise de manière simple et utile."
,Bloque 2,{{$store.getters.getTags({tag:'home_title7'})}},home_title,,Diseño Gráfico,Disegno Grafico,Graphic Design,Design Gráfico,Conception graphique
,Bloque 2,{{$store.getters.getTags({tag:'home_text8'})}},home_text8,,"Todo tipo de diseños que impulsen la comunicación visual de tu idea de negocio, con estilo propio e innovador.",Grafiche pensate per migliorare L'immagine della tua azienda con uno stile unico ed innovativo,"All kinds of designs that promote the visual communication of your business idea, with a unique and innovative style.","Todos os tipos de designs que promovem a comunicação visual da sua ideia de negócio, com um estilo único e inovador.","Toutes sortes de conceptions favorisant la communication visuelle de votre idée d'entreprise, avec un style unique et innovant."
,Bloque 3,{{$store.getters.getTags({tag:home_text9'})}},home_text9,,"Te ofrecemos
Soluciones Digitales",Ti offriamo soluzioni digitali,"We offer you
Digital Solutions","Oferecemos-lhe
Soluções Digitais","Nous vous offrons
Solutions Numériques"
,Bloque 3,{{$store.getters.getTags({tag:'home_text10'})}},home_text10,"Combinamos <strong>estrategia</strong>, UX / UI, diseño web, <strong>tecnología</strong> y <strong>creatividad</strong> para ayudar a las empresas a <strong>crecer</strong> a su máximo potencial y <strong>alcanzar</strong> rápidamente nuevos niveles de éxito.","Combinamos <strong>estrategia</strong>, UX / UI, diseño web, <strong>tecnología</strong> y <strong>creatividad</strong> para ayudar a las empresas a <strong>crecer</strong> a su máximo potencial y <strong>alcanzar</strong> rápidamente nuevos niveles de éxito.","Combiniamo <strong>strategia</strong>, UX/UI , disegno web, <strong>tecnologia</strong> e <strong>creatività</strong> per aiutare le aziende a<strong> crescere</strong>, a <strong>raggiungere</strong> il loro maggior potenziale e nuovi livelli di successo.","We combine<strong> strategy</strong>, UX / UI, web design,<strong> technology </strong>and </strong>creativity</strong> to help companies grow to their full potential and quickly <strong>reach</strong> new levels of success.","Combinamos <strong>estratégia</strong>, UX / UI, web design, <strong>tecnologia</strong> e<strong> criatividade</strong> para ajudar as empresas a <strong>crescerem</strong> ao máximo e <strong>alcançar</strong> rapidamente novos níveis de sucesso.","Nous combinons <strong>stratégie</strong>, UX / UI, conception de sites web, <strong>technologie</strong> et <strong>créativité</strong> pour aider les entreprises à atteindre leur <strong>plein potentiel</strong> et à <strong>atteindre</strong> rapidement de nouveaux niveaux de réussite."
,Bloque 4,{{$store.getters.getTags({tag:'home_text11'})}},home_text11,,"Creamos la identidad 
corporativa de tu marca",Creiamo la tua identità corporativa ,"We create a corporate identity
of your brand","Nós criamos uma identidade corporativa
da sua marca","Nous créons une identité d'entreprise
de votre marque"
